ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_4595	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Unclassified
Seq_4596	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Unclassified
Seq_4597	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_4598	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Unclassified
Seq_4599	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unclassified
Seq_4600	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
Seq_4601	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
Seq_4602	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum
Seq_4605	Bacteria	Bacillota	Clostridia	Clostridia UCG-014	Unclassified	Unclassified
Seq_4606	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_4607	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria
Seq_4609	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
Seq_4610	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Unclassified
Seq_4611	Bacteria	Bacillota	Clostridia	Oscillospirales	Unclassified	Unclassified
Seq_4612	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia
